"date","Influenza cases overall"
2023-09-09,"215"
2023-09-16,"234"
2023-09-23,"330"
2023-09-30,"313"
2023-10-07,"464"
2023-10-14,"463"
2023-10-21,"554"
2023-10-28,"750"
2023-11-04,"823"
2023-11-11,"1326"
2023-11-18,"2067"
2023-11-25,"2543"
2023-12-02,"3918"
2023-12-09,"5811"
2023-12-16,"10547"
2023-12-23,"14438"
2023-12-30,"15063"
2024-01-06,"11133"
2024-01-13,"12272"
2024-01-20,"10405"
2024-01-27,"11241"
2024-02-03,"9933"
2024-02-10,"9435"
2024-02-17,"8383"
2024-02-24,"7426"
2024-03-02,"6806"
2024-03-09,"5735"
2024-03-16,"4351"
2024-03-23,"3861"
2024-03-30,"3813"
2024-04-06,"3338"
2024-04-13,"2676"
2024-04-20,"2149"
2024-04-27,"1516"
2024-05-04,"1432"
2024-05-11,"915"
2024-05-18,"762"
2024-05-25,"669"
2024-06-01,"405"
2024-06-08,"351"
2024-06-15,"319"
2024-06-22,"257"
2024-06-29,"339"
2024-07-06,"242"
2024-07-13,"274"
2024-07-20,"263"
2024-07-27,"268"
2024-08-03,"261"
2024-08-10,"217"
2024-08-17,"245"
2024-08-24,"254"
2024-08-31,"214"
2024-09-07,"278"
2024-09-14,"299"
2024-09-21,"302"
2024-09-28,"307"
2024-10-05,"267"
2024-10-12,"250"
2024-10-19,"294"
2024-10-26,"379"
2024-11-02,"455"
2024-11-09,"512"
2024-11-16,"623"
2024-11-23,"989"
2024-11-30,"1564"
2024-12-07,"2404"
2024-12-14,"4653"
2024-12-21,"8239"
2024-12-28,"11718"
2025-01-04,"13903"
2025-01-11,"15711"
2025-01-18,"22432"
2025-01-25,"23312"
2025-02-01,"22521"
2025-02-08,"19485"
2025-02-15,"15235"
2025-02-22,"10902"
2025-03-01,"8414"
2025-03-08,"7159"
2025-03-15,"6334"
2025-03-22,"5514"
2025-03-29,"4477"
2025-04-05,"3594"
2025-04-12,"2449"
2025-04-19,"1782"
2025-04-26,"1370"
2025-05-03,"986"
2025-05-10,"677"
2025-05-17,"517"
2025-05-24,"428"
2025-05-31,"348"
2025-06-07,"247"
2025-06-14,"234"
2025-06-21,"196"
2025-06-28,"182"
2025-07-05,"169"
2025-07-12,"150"
2025-07-19,"133"
2025-07-26,"154"
2025-08-02,"136"
2025-08-09,"137"
2025-08-16,"159"
2025-08-23,"175"
2025-08-30,"182"
2025-09-06,"217"
2025-09-13,"224"
2025-09-20,"246"
2025-09-27,"222"
2025-10-04,"254"
2025-10-11,"274"
2025-10-18,"348"
2025-10-25,"448"
2025-11-01,"744"
2025-11-08,"1706"
2025-11-15,"2476"
2025-11-22,"5380"
2025-11-29,"10639"
2025-12-06,"14227"
2025-12-13,"26096"
2025-12-20,"32752"
2025-12-27,"20319"
2026-01-03,"12959"
2026-01-10,"8220"
2026-01-17,"3931"
2026-01-24,"2236"
2026-01-31,"1456"
2026-02-07,"1738"
2026-02-14,"2140"
